⺁	{⺁} px
㗳	口答 kd
㗴	口閒 kx
㗵	口欻 ki
㗶	口發 kf
㗷	口贝 kb
㗸	口亍 ki
㗹	口心 kx
㗺	口非 kf
㗻	口過 kg
㗼	口業 ky
㗽	口鄉 kx
㗾	口靴 kx
㗿	. ke
㘀	. kj
㘁	. kg
㘂	口慈 kc
㘃	口惹 kr
㘄	口楞 kl
㘅	口銜 kx
㘆	口臺 kt
㘇	口榮 kr
㘈	口疑 ky
㘉	口節 kj
㘊	. ky
㘋	口賢 kx
㘌	口劇 kj
㘍	口戈 kg
㘎	. kk
㘐	. kb
㘑	口隶 kl
㘓	口闌 kl
㘔	口賽 ks
㘕	口藍 kl
㘖	口頁 ky
㘗	口瞿 kq
㘘	. kl
㘙	口嚴 ky
㘚	. kk
㘛	口龕 kk
㘜	口讎 ki
㘝	. wy
㘞	. wl
㘟	囗廾 kc
㘠	. wb
㘡	. wj
㘢	. wg
㘣	. wy
㘤	. wy
㘥	. wy
㘦	土力 tl
㘧	土予 ty
㘨	土内 tn
㘩	土比 tb
㘪	土毛 tm
㘫	土井 tj
㘬	土勾 tg
㘭	土幻 th
㘮	土尺 ti
㘯	土力 tl
㘰	土斗 td
㘱	土冉 tr
㘲	土尻 tk
㘳	土北 tb
㘴	. tu
㘵	土布 tb
㘶	土舛 ti
㘷	土艾 ta
㘸	土死 ts
㘹	土此 tc
㘺	土伐 tf
㘻	土因 ty
㘽	. tg
㘾	土宇 ty
㘿	. tn
㙀	土究 tj
㙁	土每 tm
㙂	土兑 td
㙃	土兵 tb
㙄	土坒 tb
㙅	土呆 td
㙆	土宏 th
㙇	. ti
㙈	土虎 th
㙉	土典 td
㙊	土長 ti
㙋	土其 tq
㙌	土肃 ts
㙍	土叕 tv
㙎	土威 tw
㙏	土复 tf
㙐	土耑 td
㙑	土禹 ty
㙒	田土 tt｜土予 ty
㙓	土垚 ty
㙔	土韋 tw
㙕	土胃 tw
㙖	土禹 ty
㙗	土畏 tw
㙘	土要 ty
㙙	土尨 tm
㙚	土牛 tn
㙛	. tf
㙜	土高 tg
㙝	土脅 tx
㙞	. tg
㙟	土朗 tl
㙠	. ty
㙡	土從 tc
㙢	. tm
㙣	土張 tv
㙤	土乎 th
㙥	土衮 tg
㙦	土斜 tx
㙧	土田 tt
㙨	土幾 tj
㙩	. tl
㙪	土壹 ty
㙫	土集 tj
㙬	. ty
㙭	土厥 tj
㙮	土答 td
㙯	. uy
㙰	土解 tj
㙱	土號 th
㙲	土雍 ty
㙳	土感 tg
㙴	土詹 tv
㙵	. ti
㙶	亠堂 wt
㙷	土㬎 tx
㙸	土僕 tp
㙹	土夢 tm
㙺	土匱 tk
㙻	土廛 ti
㙼	. tl
㙽	. tb
㙾	土學 tx
㙿	. tg
㚀	土戲 tx
㚁	堯堯 yy
㚂	土囊 tn
㚃	. uq
㚄	. up
㚅	夂生 wu
㚆	夂日 wo｜亠夂 ww
㚇	. vx
㚈	夕十 xu
㚉	乃多 nd
㚊	多亥 dh
㚋	多周 dv
㚌	多果 dg
㚍	多貴 dg
㚎	大凵 dk
㚏	大廾 dc
㚐	大大 dd
㚑	. xd
㚒	. dl
㚓	大木 dm｜. dp
㚔	. dr
㚕	大弗 df
㚖	大白 db
㚗	大且 dq
㚘	夫夫 ff
㚙	大加 dj
㚚	大名 dm
㚛	大旨 dv
㚜	大或 dh
㚝	大佳 dj
㚞	大林 dl
㚟	. di
㚠	大羔 dg
㚡	奇奇 qq
㚢	女亻 nr
㚣	女女 nn
㚤	女弋 ny
㚥	女于 ny
㚦	. nj
㚧	. ny
㚨	女卂 nx
㚩	女冄 nr
㚪	女毛 nm
㚫	女及 nj
㚬	女匀 ny
㚭	女尤 ny
㚮	女冗 nr
㚯	女风 nf
㚰	女丕 np
㚱	女丘 nq
㚲	女占 nv
㚳	女加 nj
㚴	女布 nb
㚵	女冬 nd
㚶	女𠂤 nv
㚷	女尒 ne
㚸	女司 ns
㚹	女卯 nm
㚺	女孕 ny
㚻	女田 nt
㚼	女田 nt
㚽	女巧 nq
㚾	女兄 nx
㚿	女包 nb
㛀	女刍 ni
㛁	女平 np
㛂	女巴 nb
㛃	. nq
㛄	女衣 ny
㛅	女耳 ne
㛆	女朵 nd
㛇	女庄 nv
㛈	女考 nk
㛉	女西 nx
㛊	女朵 nd
㛋	女心 nx
㛌	女牟 nm
㛍	女夾 nj
㛎	女吕 nl
㛏	女求 nq
㛐	女更 ng
㛑	. nc
㛒	女豆 nd
㛓	女希 nx
㛔	女丰 nf
㛕	女邑 ny
㛖	. nj
㛗	女坐 nz
㛘	女孛 nb
㛙	女辛 nx
㛚	女甬 ny
㛛	女身 nu
㛜	女攸 ny
㛝	女貝 nb
㛞	女弄 nn
㛟	女奂 nh
㛠	女间 nj
㛡	女完 nw
㛢	女秀 nx
㛣	女员 ny
㛤	女丽 nl
㛥	. nt
㛦	女林 nl
㛧	女岩 ny
㛨	女羌 nq
㛩	女育 ny
㛪	女奄 ny
㛫	女易 ny
㛬	. nl
㛭	女昔 nx
㛮	. ns
㛯	女勉 nm
㛰	女日 no
㛱	女畏 nw
㛲	女頁 ny
㛳	女帝 nd
㛴	. nn
㛵	. ni
㛶	女炭 nt
㛷	女尤 ny｜禾女 hn
㛸	. nv
㛹	女便 nb
㛺	女音 ny
㛻	女奎 nk
㛼	. ni
㛽	女米 nm
㛾	女咸 nx
㛿	女带 nd
㜀	女相 nx
㜁	女查 ni
㜂	女封 nf
㜃	女信 nx
㜄	女風 nf
㜅	女畜 ni
㜆	女迷 nm
㜇	女恚 nh
㜈	女務 nw
㜉	女邕 ny
㜊	女展 nv
㜋	女益 ny
㜌	殳女 un｜女殳 nu
㜍	女唐 nt
㜎	女奚 nx
㜏	女員 ny
㜐	女豈 nq
㜑	女浦 np
㜒	女舁 ny
㜓	. nd
㜔	女竞 nj
㜕	女連 nl
㜖	女曹 nc
㜗	女參 nc
㜘	. nc
㜙	女鹿 nl
㜚	女宿 ns
㜛	女軟 nr
㜜	女敖 na
㜝	女酉 ny
㜞	女斬 nv
㜟	女敢 ng
㜠	女崔 nc
㜡	女從 nc
㜢	女婁 nl
㜣	女然 nr
㜤	. nq
㜥	女買 nm
㜦	女尋 nx
㜧	女厥 nj
㜨	女犀 nx
㜩	女奥 na
㜪	女新 nx
㜫	女微 nw
㜬	女詹 nv
㜭	女當 nd
㜮	女監 nj
㜯	女熙 nx
㜰	女樂 nl
㜱	女質 nv
㜲	女嬴 ny
㜳	. nh
㜴	女瞢 nm
㜵	. nn
㜶	. ni
㜷	女彌 nm
㜸	女薛 nx
㜹	女瞿 nq
㜺	女贊 nz
㜻	女戀 nl
㜼	女疊 nd
㜽	. zi
㜾	子介 zj
㜿	子予 zy
㝀	子母 zm
㝁	子旬 zx
㝂	子折 zv
㝃	子免 zm
㝄	享屯 xt
㝅	殳子 uz｜子殳 zu
㝆	子喜 zx
㝇	享享 xx
㝈	. lz
㝉	宀一 ba
㝊	宀又 by
㝋	宀了 bl
㝌	宀久 bj
㝍	宀与 by
㝎	宀之 bv
㝏	宀介 bj
㝐	. bg
㝑	宀方 bf
㝒	宀古 bg
㝓	宀合 bh
㝔	宀交 bj
㝕	宀又 by
㝖	宀多 bd
㝗	宀良 bl
㝘	宀言 by
㝙	宀八 bb
㝚	宀延 by
㝛	宀口 bk
㝜	宀昔 bx
㝝	宀林 bl
㝞	宀亞 by
㝟	. vj
㝠	. bz
㝡	宀取 bq
㝢	宀禹 by
㝣	宀契 bq
㝤	. bg
㝥	宀米 bm
㝦	宀隽 bj
㝧	安坐 az
㝨	宀袁 by
㝩	宀康 bk
㝪	宀執 bv
㝫	宀隆 bl
㝬	害夫 hf
㝭	宀惺 bx
㝮	. bs
㝯	宀喬 bq
㝰	. bm
㝱	宀夢 bm
㝲	宀帚 bv
㝴	寸元 cy
㝵	寸旦 cd
㝶	. cs
㝷	𫜹寸 xc
㝸	小儿 xe
㝹	少免 um｜少兔 ut
㝺	兼少 ju
㝻	堇少 ju
㝼	. wy
㝽	. wu
㝾	. wz
㝿	. wp
㞀	. wh
㞁	. wy
㞂	. wt
㞃	谷尤 gy
㞄	. wy
㞅	. wg
㞆	. wq
㞇	. ww
㞈	. wb
㞉	. wi
㞊	. ws
㞋	尸又 uy
㞌	尸子 uz
㞍	尸丸 uw
㞎	尸巴 ub
㞏	尸乏 uf
㞐	尸立 ul
㞑	尸丶 ud
㞒	尸自 uz
㞓	尸旨 uv
㞔	尸多 ud
㞕	. uq
㞖	. uc
㞗	尸求 uq
㞘	. ui
㞙	尾水 wu
㞚	. ui
㞛	尸旨 uv
㞜	尸委 uw
㞝	尸戚 uq
㞞	尸從 uc
㞟	尸奠 ud
㞠	. ul
㞡	. uy
㞢	屮一 ca
㞣	屮分 cf
㞤	山人 ur
㞥	山入 ur
㞦	山几 uj
㞧	山乃 un
㞨	山子 uz
㞩	山凡 uf
㞪	彐山 xu｜山彐 ux
㞫	山之 uv
㞬	山工 ug
㞭	山大 ud
㞮	山丶 ud
㞯	山己 uj
㞰	山午 uw
㞱	山日 uo
㞲	山中 uv
㞳	山斗 ud
㞴	山氏 uu
㞵	山文 uw
㞶	山文 uw
㞷	山王 uw｜屮王 cw
㞸	山不 ub
㞹	山可 uk
㞺	山矢 uu
㞻	山号 uh
㞼	. ui
㞽	. uy
㞾	山尼 un
㞿	. ua
㟀	山禾 uh
㟁	. ua
㟂	山母 um
㟃	山司 us
㟄	山羊 uy
㟅	山兇 ux
㟆	山华 uh
㟇	山坐 uz
㟈	山求 uq
㟉	山牢 ul
㟊	山孚 uf
㟋	山兑 ud
㟌	山尨 um
㟍	山良 ul
㟎	山妥 ut
㟏	山含 uh
㟐	山芒 um
㟑	山孛 ub
㟒	山君 uj
㟓	山希 ux
㟔	山含 uh
㟕	山斗 ud
㟖	山弄 un
㟗	凵分 kf
㟘	山周 uv
㟙	山昔 ux
㟚	山枝 uv
㟛	山甘 ug
㟜	. ue｜山弥 um
㟝	. up
㟞	山戔 uj
㟟	. uj｜山巷 ux
㟠	山岡 ug
㟡	山卷 uj
㟢	山奇 uq
㟣	山松 us
㟤	山录 ul
㟥	山参 uc
㟦	山軍 uj
㟧	. ue
㟨	山耑 ud
㟩	. um
㟪	山畏 uw
㟫	山泉 uq
㟬	山叟 us
㟭	. uh
㟮	山突 ut
㟯	山客 uk
㟰	山冥 um
㟱	山羔 ug
㟲	山原 uy
㟳	山栗 ul
㟴	山鬼 ug
㟵	山罡 ug
㟶	山原 uy
㟷	. ud
㟸	山皋 ug
㟹	山聊 ul
㟺	山婁 ul
㟻	山斬 uv
㟼	山敖 ua
㟽	山票 up
㟾	山庸 uy
㟿	山莽 um
㠀	山鳥 un
㠁	山參 uc
㠂	山敖 ua
㠃	山古 ug
㠄	山習 ux
㠅	山復 uf
㠆	山單 ud
㠇	山就 uj
㠈	山閏 ur
㠉	山童 ut
㠊	山虚 ux
㠋	. ux｜. yx
㠌	山欺 uq
㠍	山集 uj
㠎	山集 uj
㠏	山華 uh
㠐	山喬 uq
㠑	山罪 uz
㠒	山剽 up
㠓	山蒙 um
㠔	. ub
㠕	. uw
㠖	山義 uy
㠗	山奥 ua
㠘	山與 uy
㠙	山豪 uh
㠚	山對 ud
㠛	. uh｜. uv
㠜	山疑 uy
㠝	. uz
㠞	山徵 uv
㠟	山黎 ul
㠠	山盧 ul
㠡	. un
㠢	嵬衣 wy
㠣	山歷 ul
㠤	山襄 ux
㠥	山壘 ul
㠦	山豐 uf
㠧	山靡 um
㠨	. uy
㠩	. ia
㠪	一一 aa
㠫	. fg
㠬	. fk
㠭	工工 gg
㠮	工普 gp
㠯	. aa
㠱	己其 jq
㠲	巾匕 jb
㠳	巾入 jr
㠴	巾刃 jr
㠵	巾亡 jw
㠶	. jf
㠷	巾及 jj
㠸	巾夫 jf
㠹	巾介 jj
㠺	巾少 ju
㠻	巾耂 jl
㠼	巾斤 jj
㠽	巾冬 jd
㠾	. jy
㠿	巾此 jc
㡀	. dd
㡁	巾夸 jk
㡂	巾列 jl
㡃	巾儿 je
㡄	巾旬 jx
㡅	巾多 jd
㡆	. ji
㡇	. jv
㡈	巾免 jm
㡉	巾弦 jx
㡊	. jd
㡋	巾奄 jy
㡌	巾月 jo
㡍	白巾 bj
㡎	巾参 jc
㡏	巾俞 jy
㡐	巾前 jq
㡑	巾秋 jq
㡒	巾盾 jd
㡓	巾軍 jj
㡔	巾攵 jw
㡕	巾英 jy
㡖	巾重 jv
㡗	巾虒 js
㡘	巾兼 jj
㡙	. jp
㡚	. jg
㡛	巾荒 jh
㡜	巾祭 jj
㡝	巾逢 jf
㡞	巾婁 jl
㡟	巾曹 jc
㡠	巾登 jd
㡡	巾厨 ji
㡢	巾方 jf
㡣	. da
㡤	巾業 jy
㡥	. jy
㡦	巾賓 jb
㡧	. jv
㡨	巾戈 jg
㡩	. jl
㡪	巾夂 jw
㡫	幺曷 yh
㡬	. yg
㡭	. ya
㡮	幾气 jq
㡯	. gv
㡰	. gy
㡱	. gj
㡲	. gg
㡳	. gu
㡴	. gl
㡵	. gl
㡶	. gv
㡷	. gb
㡸	. gv
㡹	. gq
㡺	. gd
㡻	. gm
㡼	. gy
㡽	. gy
㡾	. gg
㡿	. gn
㢀	. gc
㢁	. gd
㢂	. gd
㢃	. gl
㢄	. gd
㢅	. gn
㢆	. gl
㢇	广言 gy
㢈	. gv
㢉	. gi
㢊	. gq
㢋	. gi
㢌	广阿 ga
㢍	. gy
㢎	. gi
㢏	. gy
㢐	. gk
㢑	. gs
㢒	. gc
㢓	. gv
㢔	. gc
㢕	广隹 gv
㢖	. gf
㢗	. gq
㢘	广灬 gh
㢙	. gq
㢚	. gl
㢛	. gj
㢜	. gs
㢝	. gs
㢞	. gy
㢟	廴止 zv
㢠	. zh
㢡	廾將 cj
㢢	廾敞 ci
㢣	廾敬 cj
㢤	. gw
㢥	. yt
㢦	哥弋 gy
㢧	弓一 ga
㢨	弓干 gg
㢩	弓勺 gu
㢪	弓亏 gk
㢫	弓山 gu
㢬	. gg
㢭	弓攴 gp
㢮	. gt
㢯	弓民 gm
