⺁	{⺁} px
𣫶	小毒 xd
𣫹	甲毒 jd
𣫺	每育 my
𣫻	毌女 gn
𣫿	母成 mi｜米母 mm
𣬀	來母 lm｜母成 mi
𣬂	比干 bg
𣬄	比分 bf
𣬅	比比 bb
𣬆	比反 bf
𣬇	比刀 bd
𣬈	比囟 bx｜囟比 xb
𣬉	比囟 bx
𣬊	比开 bk
𣬋	比罒 bs｜丿比 pb
𣬌	比冖 bb｜丿比 pb
𣬍	比苗 bm｜苗比 mb
𣬎	. ig｜比夬 bg
𣬐	. iu
𣬑	同昆 tk
𣬒	比吏 bl｜丿吏 pl
𣬓	比廾 bc
𣬔	比吏 bl｜丿吏 pl
𣬕	. iw｜比吾 bw
𣬖	比比 bb｜丿比 pb
𣬗	比廾 bc
𣬘	. bv｜比廾 bc
𣬙	立竞 lj｜比竞 bj
𣬚	比兔 bt｜丿兔 pt
𣬛	乚二 ge
𣬜	毛儿 me
𣬝	毛了 ml
𣬞	毛刀 md
𣬠	毛几 mj
𣬢	毛巾 mj
𣬣	毛口 mk
𣬥	毛子 mz
𣬦	口毛 km｜毛口 mk
𣬧	毛口 mk
𣬨	毛久 mj
𣬩	毛分 mf｜分毛 fm
𣬫	毛介 mj
𣬬	毛及 mj
𣬭	冂毛 km｜毛二 me
𣬮	毛匹 mp
𣬳	毛牛 mn
𣬴	毛欠 mq
𣬵	方毛 fm
𣬶	毛巴 mb
𣬷	巴毛 bm
𣬸	毛召 mv｜召毛 vm
𣬹	毛令 ml｜令毛 lm
𣬺	毛生 mu｜生毛 um
𣬼	毛皮 mp
𣬽	毛戊 mw
𣬾	毛丕 mp｜丕毛 pm
𣬿	毛乍 mv
𣭀	毛包 mb
𣭁	此毛 cm｜毛此 mc
𣭂	毛史 mu｜史毛 um
𣭄	毛奴 mn｜奴毛 nm
𣭅	矛毛 mm
𣭆	毛台 mt
𣭇	毛母 mm
𣭈	毛必 mb
𣭋	毛加 mj
𣭔	毛令 ml
𣭖	毛号 mh｜号毛 hm
𣭗	毛又 my
𣭘	毛弗 mf｜弗毛 fm
𣭙	毛尼 mn
𣭜	毛羽 my
𣭝	毛合 mh
𣭞	毛耳 me
𣭟	毛先 mx｜先毛 xm
𣭠	毛如 mr｜如毛 rm
𣭡	毛先 mx
𣭢	老毛 lm｜毛老 ml
𣭣	毛二 me｜丿毛 pm
𣭤	毛毕 mb
𣭦	毛虫 mi
𣭪	毛舌 mu
𣭭	丰毛 fm｜毛刀 md
𣭮	火毛 hm｜毛二 me
𣭱	毛肖 mx
𣭲	毛甬 my｜甬毛 ym
𣭳	毛求 mq
𣭴	毛束 mu
𣭵	毛束 mu｜束毛 um
𣭶	夾毛 jm｜毛夾 mj
𣭷	毛孛 mb｜孛毛 bm
𣭸	旱毛 hm｜毛旱 mh
𣭺	. mh
𣭻	足毛 zm｜毛足 mz
𣭼	毛尿 mn｜尿毛 nm
𣭽	辰毛 im｜毛辰 mi
𣮀	利毛 lm｜毛利 ml
𣮁	毛秀 mx
𣮃	毛呆 md
𣮄	毛妥 mt
𣮅	毛沙 mu
𣮆	兑毛 dm
𣮈	毛屈 mq｜屈毛 qm
𣮉	毛來 ml｜來毛 lm
𣮋	禾毛 hm｜毛丿 mp
𣮌	. mj
𣮍	毛妾 mq
𣮎	毛昆 mk
𣮏	毛戔 mj
𣮐	毛卑 mb
𣮑	毛昌 mi
𣮒	庚毛 gm｜毛庚 mg
𣮓	毛木 mm
𣮔	果毛 gm｜毛果 mg
𣮕	毛米 mm｜勹毛 gm
𣮖	毛攵 mw｜牙毛 ym
𣮗	毛回 mh
𣮛	毛青 mq
𣮝	毛丰 mf｜丰毛 fm
𣮟	毛叁 ms｜叁毛 sm
𣮠	艹毛 cm｜毛月 mo
𣮡	毛奔 mb
𣮢	毛享 mx
𣮣	毛庚 mg
𣮤	毛宗 mz
𣮥	冖毛 bm｜毛木 mm
𣮦	奈毛 nm｜毛奈 mn
𣮧	毛並 mb｜並毛 bm
𣮨	毛禺 my
𣮩	毛酋 mq
𣮪	毛柔 mr
𣮫	毛叚 mj
𣮬	. ms｜毛又 my
𣮭	毛亲 mq｜亲毛 qm
𣮮	眉毛 mm
𣮯	毛又 my｜灾毛 zm
𣮰	毛木 mm｜目毛 om
𣮱	叚毛 jm｜毛叚 mj
𣮲	毛月 mo
𣮳	巾耄 jm
𣮴	毛訇 mh
𣮵	毛臾 my｜臾毛 ym
𣮷	毛曷 mh
𣮸	毛又 my｜灾毛 zm
𣮹	毛首 mu
𣮻	毛面 mm
𣮼	毛耑 md
𣮽	毛糸 ms
𣮿	面毛 mm
𣯀	毛冒 mm
𣯁	毛臾 my
𣯂	毛保 mb
𣯃	毛咨 mz
𣯄	毛女 mn
𣯆	毛耆 mq｜耆毛 qm
𣯇	羔毛 gm｜毛羔 mg
𣯈	艹毛 cm｜毛合 mh
𣯉	毛八 mb｜罒毛 sm
𣯊	毛旁 mp
𣯋	. mc｜毛辱 mr
𣯌	毛娑 ms
𣯍	毛隼 ms
𣯏	毛茸 mr
𣯐	毛目 mo
𣯑	毛烏 mw
𣯒	毛俱 mj
𣯓	立毛 lm｜毛立 ml
𣯔	毛容 mr
𣯕	亅毛 am｜毛支 mv
𣯗	毛厝 mc
𣯙	毛倉 mc
𣯚	. md
𣯛	毛厂 mi｜牙毛 ym
𣯜	毛叟 ms
𣯝	毛毛 mm｜自毛 zm
𣯞	立毛 lm｜毛立 ml
𣯟	毛旁 mp｜旁毛 pm
𣯠	毛毛 mm｜䒑毛 qm
𣯢	毛娑 ms
𣯣	毛𬜯 ml
𣯤	. mi
𣯥	毛習 mx
𣯦	既毛 jm｜毛既 mj
𣯧	毛崔 mc
𣯨	毛從 mc｜從毛 cm
𣯩	. mm｜毛入 mr
𣯪	毛徙 mx
𣯫	毛婁 ml
𣯬	毛莽 mm
𣯭	. mu｜毛丸 mw
𣯮	毛習 mx｜習毛 xm
𣯯	毛崔 mc
𣯰	毛一 ma｜羽毛 ym
𣯱	毛陪 mp
𣯲	毛女 mn
𣯳	莫毛 mm
𣯴	毛畢 mb
𣯶	毛參 mc
𣯷	毛厂 mi｜未毛 wm
𣯸	毛渠 mq
𣯹	毛喬 mq｜喬毛 qm
𣯺	毛心 mx｜厶毛 sm
𣯼	毛粟 ms｜粟毛 sm
𣯽	毛普 mp｜普毛 pm
𣯾	毛翕 mx
𣰃	毛而 me
𣰄	而毛 em｜毛而 me
𣰅	毛翕 mx｜翕毛 xm
𣰆	毛登 md
𣰇	. mj
𣰈	毛幾 mj
𣰉	敝毛 bm｜毛敝 mb
𣰊	毛農 mn｜農毛 nm
𣰋	. mj
𣰌	毛葛 mg｜葛毛 gm
𣰍	毛炎 my｜目毛 om
𣰎	毛常 mi
𣰏	毛嵬 mw
𣰐	毛裘 mq｜裘毛 qm
𣰔	毛毛 mm
𣰕	. mc
𣰖	毛廾 mc｜𥫗毛 vm
𣰗	白毳 bc
𣰘	. mv｜真毛 vm
𣰚	毛算 ms
𣰛	毛蓋 mg｜蓋毛 gm
𣰜	. mp｜毛几 mj
𣰝	屢毛 lm｜毛屢 ml
𣰞	. mv
𣰟	婁毛 lm｜毛攵 mw
𣰠	. mx
𣰡	. mj｜毛冂 mk
𣰢	屢毛 lm｜毛屢 ml
𣰣	回毛 hm｜毛回 mh
𣰥	毛蒙 mm
𣰦	毛監 mj
𣰧	毛相 mx｜目毛 om
𣰨	賓毛 bm｜毛賓 mb
𣰩	毛巢 mi
𣰬	毛賣 mm
𣰭	毛田 mt｜田毛 tm
𣰮	卜毛 bm｜毛米 mm
𣰯	魯毛 lm｜毛魯 ml
𣰰	毛奭 mu｜奭毛 um
𣰲	毛少 mu｜矞毛 ym
𣰶	毛襄 mx
𣰷	毛戈 mg｜毛韱 mx
𣰸	毛冖 mb｜田毛 tm
𣰻	. mg
𣰼	毛聶 mn
𣰽	毛瞿 mq
𣰿	毛麗 ml｜麗毛 lm
𣱀	毛羅 ml
𣱁	毛且 mq
𣱂	毛變 mb｜變毛 bm
𣱃	毛疊 md
𣱄	毛鹽 my｜鹽毛 ym
𣱅	亡民 wm
𣱇	司氏 su｜氏司 us
𣱈	民巴 mb
𣱉	云民 ym
𣱊	一氐 ad｜氏丶 ud
𣱋	氐幺 dy｜氏幺 uy
𣱎	氐兀 dw｜氏兀 uw
𣱏	矛氏 mu｜氏勿 uw
𣱑	氐土 dt｜氏土 ut
𣱒	氐土 dt｜氏土 ut
𣱓	. xd｜氏丶 ud
𣱕	气刀 qd
𣱖	气冫 qd
𣱗	气力 ql
𣱙	气月 qo
𣱚	气歹 qd
𣱛	气火 qh
𣱜	气乂 qi
𣱝	气东 qd
𣱞	气歹 qd
𣱟	气田 qt
𣱠	气立 ql
𣱡	气旬 qx｜旬气 xq
𣱢	气易 qy
𣱣	气困 qk
𣱤	气虎 qh
𣱦	气盆 qp
𣱧	气重 qv
𣱩	氣日 qo｜氣日 qr
𣱪	气票 qp
𣱫	. qf｜气田 qt
𣱮	气輕 qq
𣱯	氣票 qp
𣱱	丿丿 pp
𣱲	. uy
𣱳	水一 ua
𣱵	水亠 uw｜亠水 wu
𣱶	氵卜 db
𣱷	厂水 iu
𣱸	水入 ur
𣱹	丿氺 pu
𣱺	水八 ub
𣱻	水几 uj
𣱼	氵刀 dd
𣱽	氵乃 dn
𣱾	氵了 dl
𣲀	氵彡 dp
𣲁	氵乙 dy
𣲂	. ui
𣲃	氵一 da
𣲄	. dj
𣲅	氵工 dg
𣲆	氵己 dj
𣲇	氵亍 di
𣲉	水下 ux
𣲊	卜水 bu｜水乙 uy
𣲋	氵夊 dw
𣲌	氵十 du
𣲎	今水 ju｜水今 uj
𣲏	氵攴 dp
𣲑	. dh
𣲒	氵仂 dl
𣲓	氵卜 db
𣲔	氵一 da
𣲕	氵二 de
𣲗	氵韦 dw
𣲘	. dm｜氵无 dw
𣲙	氵水 du｜水氵 ud
𣲚	氵仁 dr
𣲜	水井 uj｜井水 ju
𣲝	人水 ru｜水人 ur
𣲞	氵扎 dv
𣲟	氵廿 dc
𣲠	氵歹 dd
𣲡	. dj
𣲢	氵㐅 di
𣲣	氵厄 de
𣲤	氵介 dj
𣲥	氵丹 dd
𣲦	水少 uu
𣲧	氵火 dh
𣲨	氵牙 dy
𣲩	氵巴 db
𣲭	氵毛 dm
𣲰	水支 uv
𣲱	火水 hu｜水火 uh
𣲲	氵禾 dh
𣲳	氵叵 dp
𣲴	弗水 fu｜水弗 uf
𣲵	氵只 dv
𣲶	氵九 dj
𣲸	氵乃 dn
𣲹	氵冉 dr
𣲺	氵又 dy
𣲻	氵几 dj
𣲼	氵宄 dg
𣲽	. dr｜氵几 dj
𣲾	. dk｜氵圣 du
𣲿	氵又 dy
𣳀	氵十 du
𣳁	氵亡 dw
𣳂	古水 gu｜水古 ug
𣳃	氵士 du
𣳄	氵一 da
𣳅	氵小 dx
𣳆	冯水 fu｜水冯 uf
𣳇	氵左 dz
𣳊	氵土 dt
𣳋	氵丩 dj
𣳎	氵丕 dp
𣳏	氵又 dy
𣳐	汇女 hn
𣳑	氵申 du
𣳓	氵卡 dk
𣳔	氵用 dy
𣳗	水母 um
𣳘	氵一 da
𣳙	氵干 dg
𣳚	氵又 dy
𣳛	氵水 du｜水丿 up
𣳜	氵犯 df
𣳝	氵十 du
𣳞	氵一 da
𣳟	氵疋 dp
𣳠	氵母 dm
𣳡	氵戊 dw
𣳣	水尻 uk
𣳤	氵土 dt
𣳥	氵七 dq
𣳦	氵囟 dx
𣳩	氵次 dc
𣳪	氵吏 dl
𣳫	氵王 dw
𣳬	氵缶 df
𣳭	. db｜氵又 dy
𣳮	氵吕 dl
𣳯	氵幺 dy
𣳰	氵十 du
𣳱	氵刀 dd
𣳲	. dj｜氵子 dz
𣳳	水覀 ux｜覀水 xu
𣳴	氵一 da
𣳵	氵厶 ds
𣳶	氵十 du
𣳷	氵二 de
𣳸	氵兇 dx
𣳹	氵于 dy
𣳺	氵山 du
𣳻	水自 uz｜自水 zu
𣳾	火氺 hu
𣳿	氵宇 dy
𣴀	氵刀 dd
𣴁	. dy
𣴆	氵羽 dy
𣴈	氵刂 dd
𣴉	氵又 dy
𣴊	氵色 ds
𣴌	氵大 dd
𣴍	氵糸 ds
𣴎	丷水 bu｜水王 uw
𣴑	氵儿 de
𣴒	氵尖 dj
𣴓	氵件 dj
𣴔	氵干 dg
𣴕	氵儿 de
𣴖	氵夕 dx
𣴗	氵巾 dj
𣴘	氵大 dd
𣴙	氵多 dd
𣴛	氵戎 dr
𣴝	水兆 uv
𣴞	氵坌 db
𣴟	. dm｜氵儿 de
𣴠	氵口 dk
𣴡	氵匕 db
𣴢	氵皁 dz
𣴣	氵壯 dv
𣴤	氵或 dh
𣴥	氵狂 dk
𣴦	氵弘 dh
𣴧	氵土 dt
𣴨	. db｜氵目 do
𣴩	氵丏 dm
𣴪	氵卑 db
𣴫	氵又 dy
𣴬	氵又 dy
𣴭	氵人 dr
𣴮	氵𰀁 df
𣴯	氵巾 dj
𣴱	氵𰀁 df
𣴲	谷水 gu｜水谷 ug
𣴳	水坐 uz
𣴴	每水 mu｜水每 um
𣴵	氵一 da
𣴶	氵坐 dz
𣴷	氵抄 di
𣴸	氵八 db
𣴹	氵儿 de
𣴺	氵水 du｜水囗 uk
𣴻	氵止 dv
𣴼	. dm
𣴽	. de｜氵火 dh
𣴾	氵也 dy
𣵀	氵土 dt
𣵁	氵伯 db
𣵂	氵水 du｜水今 uj
𣵃	氵刂 dd
𣵄	氵床 di
𣵆	氵几 dj
𣵇	氵究 dj
𣵈	氵丐 dg
𣵉	氵大 dd
𣵊	氵三 ds
𣵋	氵用 dy
𣵌	氵水 du｜水𫜹 ux
𣵍	汗二 he
𣵎	氵李 dl
𣵏	氵人 dr
𣵐	氵車 di
𣵑	𬇕攵 ww
𣵔	氵田 dt
𣵗	氵吴 dw
𣵘	氵元 dy
𣵙	氵片 dp
𣵚	氵小 dx
𣵛	氵秀 dx
𣵜	氵岙 da
𣵞	氵吞 dt
𣵟	水大 ud｜氵水 du
𣵠	氵豕 du
𣵡	氵旱 dh
𣵢	. dr
𣵣	氵何 dh
𣵤	氵但 dd
𣵥	氵旧 dj
𣵦	氵甸 dd
𣵧	氵言 dy
𣵨	氵一 da
𣵩	氵火 dh
𣵪	氵助 dv
𣵫	氵大 dd
𣵬	氵匚 dk
𣵭	氵王 dw
𣵮	氵邦 db
𣵱	. dk｜氵壬 dr
𣵳	水甬 uy｜甬水 yu
𣵴	氵吟 dy
𣵷	氵邯 dh
𣵸	氵几 dj
𣵹	氵土 dt｜土巨 tj
𣵺	. dt
𣵻	氵陀 dt
𣵼	氵干 dg
𣵽	氵夭 dy
𣵾	氵亞 dy
𣵿	氵侃 dk
𣶀	氵月 do
𣶁	氵片 dp
𣶂	氵往 dw
𣶃	氵早 dz
𣶄	氵刂 dd
𣶅	氵立 dl
𣶆	氵穹 dq
𣶇	氵丽 dl
𣶈	氵罔 dw
𣶉	氵戽 dh
𣶊	氵陌 dm
𣶋	氵炙 dv
𣶌	. iw
𣶍	氵狀 dv
𣶎	氵白 db
𣶏	. dy
𣶐	. dp
𣶑	氵儿 de
𣶒	丿丨 pa
𣶓	氵夂 dw
𣶔	氵丨 da
𣶕	氵王 dw
𣶖	氵土 dt
𣶗	氵水 du｜水今 uj
𣶘	氵多 dd
𣶙	水欠 uq
𣶚	亻水 ru｜水儿 ue
𣶛	氵欠 dq｜水欠 uq
𣶝	. dj｜氵坥 dq
𣶞	氵冉 dr
𣶟	氵亡 dw
𣶠	氵心 dx
𣶡	氵歹 dd
𣶢	氵方 df
𣶣	. dv
𣶤	氵口 dk
𣶥	氵石 du
𣶦	. dd
𣶨	氵虫 di
𣶩	氵画 dh
𣶫	氵诣 dy
𣶬	氵亟 dj
𣶮	氵屮 dc
𣶯	氵門 dm
𣶰	氵阿 da
𣶱	氵知 dv
𣶲	氵杪 dm
𣶴	氵肿 dv
𣶵	氵卜 db
𣶶	氵采 dc
𣶷	水火 uh
𣶽	氵芸 dy
𣶾	氵心 dx
𣶿	氵羋 dm
𣷀	氵店 dd
𣷃	氵力 dl
𣷄	氵庚 dg
𣷇	氵灬 dh
𣷈	氵月 do
𣷉	氵亟 dj
𣷍	氵眉 dm
𣷎	氵月 do
𣷐	氵卜 db
𣷑	氵女 dn
𣷒	氵全 dq
𣷓	氵和 dh
𣷔	氵房 df
𣷕	氵又 dy
𣷗	取水 qu｜水取 uq
𣷘	水水 uu
𣷚	夾氺 ju
𣷛	水夕 ux｜由水 yu
𣷜	水攵 uw
𣷝	氵兀 dw
𣷞	氵木 dm
𣷟	氵干 dg
𣷠	氵明 dm
𣷡	氵忠 dv
𣷢	氵月 do
𣷤	氵日 do
𣷥	氵月 do
𣷦	氵米 dm
𣷧	氵否 df
𣷨	氵刂 dd
𣷩	. dq
𣷪	氵主 dv
𣷫	氵放 df
𣷬	氵刂 dd
𣷱	氵使 du
𣷲	氵所 ds
𣷵	氵人 dr
𣷶	氵幺 dy
𣷸	氵芝 dv
𣷻	氵一 da
𣷼	氵厶 ds
𣷽	氵侵 dq
𣷾	氵軌 dg
𣷿	氵月 do
𣸀	氵虺 dh
𣸁	氵彡 dp
𣸂	氵八 db
𣸃	. dv｜氵术 du
𣸄	氵昝 dz
𣸅	氵括 dk
𣸆	. di
𣸇	氵便 db
𣸈	氵又 dy
𣸉	. dt｜氵羊 dy
𣸊	. da｜氵云 dy
𣸋	氵畎 dq
𣸌	氵可 dk
𣸍	氵殳 du
𣸎	. dk｜氵又 dy
𣸏	. dn｜氵手 du
𣸐	. ul
𣸑	氵木 dm
𣸒	. dt
𣸓	氵䒑 dq
𣸔	沪示 hu
𣸕	井泉 jq
𣸖	氵干 dg
𣸗	水攵 uw｜未水 wu
𣸘	. dy｜氵它 dt
𣸙	. ds
𣸚	. du
𣸛	氵削 dx
𣸜	氵盼 dp
𣸝	. dg｜氵羽 dy
𣸞	平水 pu｜水水 uu
𣸟	氵刂 dd
𣸠	氵列 dl
𣸡	氵米 dm
𣸢	氵毖 db
𣸣	氵贲 db
𣸤	氵方 df
𣸥	氵彦 dy
𣸦	氵女 dn
𣸧	氵木 dm
𣸨	氵荧 dy
𣸪	氵复 df
𣸫	氵垒 dl
𣸮	氵云 dy
𣸯	氵子 dz
𣸲	氵契 dq
𣸳	氵衣 dy
𣸴	沐宄 mg
𣸵	氵威 dw
𣸶	氵残 dc
𣸷	氵水 du｜水丷 ub
𣸸	氵氺 du｜水天 ut
𣸹	氵屏 dp
𣸼	氵丶 dd
𣸾	氵点 dd
𣸿	氵兄 dx
𣹀	氵月 do
𣹂	氵段 dd
𣹄	氵用 dy
𣹅	前水 qu｜水前 uq
𣹆	氵皿 dm
𣹇	沙可 uk
𣹈	氵白 db
𣹉	氵皿 dm｜水皿 um
𣹊	氵彡 dp
𣹋	. df
𣹌	氵禾 dh
𣹍	氵丶 dd
𣹎	氵八 db
𣹏	氵孖 dm
𣹐	氵女 dn
𣹑	氵虽 ds
𣹒	氵田 dt
𣹕	氵律 dl
𣹚	氵廾 dc
𣹛	水皇 uh
𣹜	氵即 dj
𣹝	. dq
𣹞	氵冢 dv
𣹟	氵貢 dg
𣹠	氵冤 dy
𣹡	氵耆 dq
𣹢	氵干 dg
𣹣	氵止 dv
𣹤	氵手 du
𣹥	氵倩 dq
𣹦	氵又 dy
𣹧	氵窄 dv
𣹨	氵刂 dd
𣹩	氵脅 dx
𣹪	氵旄 dm
𣹫	氵庫 dk
𣹬	水殳 uu
𣹭	流水 lu｜水流 ul
𣹮	. dp
𣹯	. ds｜氵兮 dx
𣹰	氵又 dy
𣹱	. dh｜氵欠 dq
𣹲	氵辛 dx
𣹳	水儿 ue
𣹴	氵眚 du
𣹵	. dn｜氵乚 dg
𣹶	. dz｜氵夂 dw
𣹷	氵巾 dj
𣹸	氵二 de
𣹹	戌一 xa
𣹺	氵水 du
𣹻	白泉 bq
𣹼	氵二 de
𣹽	氵王 dw
𣹾	氵十 du
𣹿	氵方 df
𣺀	氵夕 dx
𣺁	氵月 do
𣺂	氵晏 dy
𣺃	氵月 do
𣺄	氵立 dl
𣺆	氵畀 db
𣺇	氵甘 dg
𣺈	氵倚 dy
𣺊	氵家 dj
𣺌	洱少 eu
𣺍	氵矢 du
𣺎	氵又 dy
𣺏	氵冂 dk
𣺐	氵失 du
𣺑	氵山 du
𣺒	氵衣 dy
𣺓	氵丿 dp
𣺔	氵豆 dd
𣺕	氵軒 dx
𣺗	氵火 dh
𣺙	氵一 da
𣺝	氵幺 dy
𣺞	氵草 dc
𣺟	氵羽 dy
𣺡	. dy
𣺢	氵条 dt
𣺣	氵巴 db
𣺦	氵又 dy
𣺧	氵山 du
𣺨	氵丷 db
𣺩	朔水 uu
𣺪	水員 uy
𣺫	氵修 dx
𣺬	氵荒 dh
𣺭	氵丙 db
𣺮	氵套 dt
𣺯	氵亚 dy
𣺰	氵哨 du
𣺱	氵笋 ds
𣺲	洣殳 mu
𣺳	氵刂 dd
𣺴	氵丨 da
𣺵	氵丶 dd
𣺶	水厂 ui｜牙水 yu
𣺷	氵月 do
𣺸	洋火 yh
𣺹	氵展 dv
𣺺	氵徒 dt
𣺼	氵党 dd
𣺽	氵罢 db
𣻂	氵哲 dv
𣻅	吉沙 ju
𣻇	氵退 dt
𣻉	氵帶 dd
𣻋	氵又 dy
𣻌	氵水 du｜水王 uw
𣻍	氵灬 dh
𣻎	氵攵 dw
𣻏	氵梟 dx
𣻐	. dc｜氵且 dq
𣻑	氵殺 du
𣻒	. dj｜氵令 dl
𣻓	氵旌 dj
𣻔	氵票 dp
𣻕	氵麻 dm
𣻖	. dn｜氵兔 dt
𣻗	氵移 dy
𣻘	氵梢 du
𣻙	氵品 dp
𣻚	氵術 du
𣻛	氵舂 di
𣻜	氵符 df
𣻞	氵畤 dv
𣻟	氵臣 di
𣻠	氵斜 dx
𣻡	氵莨 dl
𣻢	氵通 dt
𣻣	水步 ub
𣻤	水木 um
𣻥	氵日 do
𣻦	氵酉 dy
𣻧	氵捻 dn
𣻨	氵水 du｜水尾 uw
𣻩	氵阝 de
𣻪	氵赦 du
𣻫	泪羽 ly
𣻬	氵米 dm
𣻭	氵皿 dm
𣻯	頃水 qu｜水頃 uq
𣻰	氵惟 dw
𣻱	氵晝 dv
𣻲	氵回 dh
𣻳	氵頃 dq
𣻶	氵土 dt
𣻼	氵毫 dh
𣻿	氵莘 du
𣼀	氵彡 dp
𣼁	洋永 yy
𣼂	氵目 do
𣼃	氵木 dm
𣼄	氵厶 ds
𣼆	氵木 dm
𣼊	氵麥 dm
𣼋	氵欠 dq
𣼌	氵月 do
𣼎	氵雀 dq
𣼐	氵閆 dy
𣼑	氵呆 dd
𣼕	氵艹 dc
𣼗	氵六 dl
𣼙	白水 bu｜水夕 ux
𣼚	氵聃 dd
𣼛	氵入 dr
𣼜	氵奄 dy
𣼝	氵木 dm
𣼞	. dk
𣼟	. ud
𣼠	氵几 dj
𣼡	氵帚 dv
𣼢	氵令 dl
𣼣	氵兩 dl
𣼤	氵石 du
𣼥	氵莊 dv
𣼦	氵𰀁 df
𣼧	氵率 dl
𣼩	氵陰 dy
𣼰	氵心 dx
𣼱	氵偶 do
𣼲	氵唯 dw
𣼴	氵軟 dr
𣼻	氵于 dy
𣼽	氵朗 dl
𣼾	氵聊 dl
𣼿	厶每 sm｜水每 um
𣽂	氵丨 da
𣽃	氵詹 dv
𣽄	氵刂 dd
𣽅	氵聒 dg
𣽆	氵筑 dv
𣽇	氵取 dq
𣽈	氵而 de
𣽉	氵灬 dh
𣽊	. dj
𣽋	泪告 lg
𣽌	. dk｜氵欠 dq
𣽍	氵丿 dp
𣽎	. dg
𣽏	氵惡 de
𣽐	氵干 dg
𣽑	氵奔 db
𣽒	氵貰 du
𣽓	氵心 dx
𣽔	氵土 dt
𣽕	. do｜氵厶 ds
𣽖	氵戔 dj
𣽗	氵琢 dz
𣽘	氵桀 dj
𣽙	氵灬 dh
𣽚	. di｜氵日 do
𣽛	氵答 dd
𣽜	氵矢 du
𣽝	江風 jf
𣽞	氵晷 dg
𣽟	氵款 dk
𣽠	淠攴 pp
𣽡	氵博 db
𣽢	氵口 dk
𣽣	氵共 dg
𣽤	氵策 dc
𣽥	. dg｜氵頇 dh
𣽦	. dx
𣽧	氵侵 dq
𣽨	舟氺 vu
𣽩	氵旒 dl
𣽪	氵眉 dm
𣽫	. dc｜氵心 dx
𣽬	氵寒 dh
𣽭	氵皿 dm
𣽮	氵媱 dy
𣽯	氵冉 dr
𣽱	氵月 do
𣽲	氵牽 dq
𣽳	. lj｜氵几 dj
𣽴	氵喟 dk
𣽵	氵本 db
𣽶	氵出 di
𣽷	氵赐 dc
𣽸	氵窖 dj
𣽹	氵冉 dr
𣽺	氵亏 dk
𣽼	氵犬 dq
𣽽	氵月 do
𣽿	氵程 di
𣾀	氵隹 dv
𣾄	氵丿 dp
𣾅	氵刂 dd
𣾇	氵奠 dd
𣾈	氵皿 dm
𣾉	氵眉 dm
𣾊	氵元 dy
𣾌	氵羊 dy
𣾍	氵联 dl
𣾑	氵二 de
𣾒	氵吴 dw
𣾖	氵夕 dx
𣾘	氵奔 db
𣾜	氵淼 dm｜水水 uu
𣾠	氵欽 dq
𣾡	沪雨 hy
𣾢	水頁 uy
𣾣	氵干 dg
𣾤	氵灬 dh
𣾥	氵舠 dd
𣾦	氵掌 dv
𣾧	氵子 dz
𣾨	氵目 do
𣾩	氵米 dm
𣾪	氵啻 di
𣾫	氵心 dx
𣾬	氵元 dy
𣾭	氵口 dk
𣾮	氵殳 du
𣾯	氵土 dt
𣾰	氵氺 du
𣾱	氵太 dt
𣾲	氵厶 ds
𣾳	氵化 dh
𣾴	氵夫 df
𣾶	氵隊 dd
𣾷	氵喬 dq
𣾸	氵提 dt
𣾼	氵越 dy
𣾽	氵毳 dc
𣿀	浦氺 pu
𣿁	氵欠 dq
𣿂	氵隋 ds
𣿄	氵丿 dp
𣿅	氵董 dd
𣿆	氵鳧 df
𣿇	. dn｜氵稔 dr
𣿈	氵窣 ds
𣿉	氵詣 dy
𣿊	. lw
𣿋	氵乎 dh
𣿌	氵遏 de
𣿍	氵皿 dm
𣿎	. dj
𣿏	氵口 dk
𣿐	氵賊 dz
𣿑	氵邑 dy
𣿒	. dz｜氵辛 dx
𣿓	氵罪 dz
𣿔	氵羊 dy
𣿕	氵灬 dh
𣿖	氵剽 dp
𣿗	氵敖 da
𣿘	氵楊 dy
𣿙	氵貝 db
𣿚	氵木 dm
𣿛	氵口 dk
𣿜	氵心 dx
𣿝	氵葑 df
𣿞	氵裏 dl
𣿟	氵又 dy
𣿠	氵回 dh
𣿡	氵又 dy
𣿢	氵車 di
𣿣	氵皿 dm
𣿤	氵久 dj
𣿦	氵賈 dj
𣿨	氵羊 dy
𣿪	氵道 dd
𣿬	氵匯 dh
𣿯	氵支 dv
𣿰	氵睿 dr
𣿱	氵灬 dh
𣿲	氵出 di
𣿴	氵勿 dw
𣿶	氵灬 dh
𣿹	氵圓 dy
𣿻	氵小 dx
𣿼	氵目 do
𣿽	氵戋 dj
𣿾	氵寄 dj
𤀀	氵粤 dy
𤀁	白淼 bm
𤀂	氵敬 dj
𤀃	氵言 dy
𤀄	氵盟 dm
𤀅	氵口 dk
𤀆	氵立 dl
𤀇	氵糸 ds
𤀈	氵大 dd
𤀉	氵干 dg
𤀊	. dk｜氵艮 dg
𤀋	氵更 dg
𤀌	. dy
𤀍	氵彡 dp
𤀎	氵干 dg
𤀑	. dn
𤀒	氵愈 dy
𤀓	氵禄 dl｜水彐 ux
𤀔	氵飲 dy
𤀝	. se｜氵阝 de
𤀟	氵土 dt
𤀠	氵熙 dx
𤀡	氵取 dq
𤀢	法空 fk
